DATA,CFCT,NC-R,NC-I,NC-C,NC-RUR,NC-PPU,NC-IPU,NC-SPU,NC-PRO,NC-TOTAL,PT,PT-INT,PT-ISO,PT-TOT,PNT-INT,PN-ISO,PNT-TOT,TEMP-MIN,TEMP-MAX,I-PLUV,U-REL,IPAGRO,MR-BF,Q-BF,MR-PS,IMR-TOT,I-AEC,PFI-IG,IV-CVA,PIB,PIB-I
2006-01-01,-0.6636074832333194,3.7459163218227287,0.05151983513653757,1.3199200913242004,24.86123283669297,4.882062534284137,10.588235294117654,11.260053619302957,0.743494423791824,3.8220981874074855,21.82065287961288,8.05759350487345,3.1097290093291763,7.832808589650431,31.892969408878336,69.7089947089947,32.3263252034985,0.43290043290042934,-1.2232415902140858,55.182072829131656,-1.6107382550335614,11.920529801324498,3.999420115168273,-2.0606622264450647,11.703439782321201,8.62068965517242,7.14285714285714,9.722222222222232,15.384615384615374,6.697526272958765,8.6176195415673
2006-02-01,3.4095234848613876,3.9235850911738535,-1.08387096774194,1.783534819909316,28.04906406231833,5.299644257958591,6.513409961685834,11.101163831692041,-1.8115942028985477,4.062876259427317,15.133572761294634,9.257507685031928,5.864354920958692,9.104878985785625,19.82677229998768,-135.57312252964425,20.637933524520836,-0.8547008547008517,-1.5479876160990558,-24.402308326463306,-6.909547738693467,9.90099009900991,5.997037718057374,-3.1593249986334393,11.493679531734614,9.090909090909083,6.666666666666665,10.9375,5.000000000000004,6.697526272958765,8.6176195415673
2006-03-01,-0.7844130222056989,4.243662109115398,0.025900025900016388,2.476388652202388,30.96554902638553,5.67621828800875,11.240310077519378,9.866666666666667,-0.73260073260073,4.457960711414799,23.132518151186755,8.14729089952657,5.951307484220014,8.051384114347737,33.3665756117302,45.77729962345347,33.69271478437113,-2.127659574468088,-0.9375000000000022,68.31922611850061,3.626943005181338,9.649122807017552,4.792236255234217,-9.367642650726527,11.317435345235705,8.47457627118644,8.108108108108114,18.055555555555557,4.347826086956519,6.697526272958765,8.6176195415673
2006-04-01,-1.191470025678687,4.155533227416797,-0.7818608287724738,2.632426916811381,38.08317014168874,6.130268199233724,7.490636704119846,12.321428571428573,-3.2490974729241895,4.491362973988866,7.299534168513411,4.064900690753381,3.421532846715336,4.035920514559321,10.613921668112415,-47.79319041614124,9.86557228720999,0.4310344827586299,-0.9375000000000022,-14.432260346657234,-1.1508951406649648,2.158273381294973,8.868831458834192,-8.04293907921253,25.498567285627804,8.92857142857142,5.35714285714286,12.5,4.444444444444451,6.697526272958765,8.6176195415673
2006-05-01,-3.080291781656108,4.310874282224875,-0.10430247718383745,3.725234736511074,44.25609895773679,6.103201233336364,9.774436090225569,12.210338680926913,-2.166064981949456,4.813064936159184,25.881484675600362,7.054889825756483,6.013363028953234,7.0084927375188455,38.90008554567994,69.41272430668842,39.43300804900633,-0.8547008547008517,-2.484472049689457,-22.00700116686115,2.0352781546811416,0.0,12.32746920944907,-11.764444335416446,11.986068077381962,8.403361344537807,7.6271186440677985,20.270270270270263,16.666666666666675,6.697526272958765,8.6176195415673
2006-06-01,-0.6639172641329849,4.197315282098746,0.3935974809761156,3.200719783352346,53.93437945791726,6.11840921360447,7.777777777777772,11.707746478873249,-0.7299270072992692,4.799248566005687,14.80202636288026,5.972748693781371,6.68449197860963,6.004035338596259,21.345769884077836,26.412918108419838,21.410079138595517,0.8658008658008587,-2.140672782874631,-46.41275465013286,4.912836767036444,2.5751072961373467,28.556923592023864,-12.228087247992292,12.35777888001075,8.771929824561408,6.557377049180335,15.789473684210531,12.765957446808507,6.697526272958765,8.6176195415673
2006-07-01,-1.1492252314972418,4.157668141376436,1.0233534505379227,2.72424721263429,59.86456495760542,6.32922772633282,5.434782608695654,8.72142252328536,-4.379562043795615,4.8016908266771186,25.377024144485105,7.86434463794683,10.175288584865317,7.9694365594742855,37.327638443462455,87.95093795093796,38.34378484844096,1.754385964912264,-2.4096385542168752,-39.98875140607424,1.9607843137254832,8.743169398907114,26.583863673887453,-14.02284366729617,12.285046869580363,8.62068965517242,9.322033898305083,23.28767123287672,17.021276595744684,6.697526272958765,8.6176195415673
2006-08-01,1.7901139416115486,4.003982677959628,0.38829924928811543,3.3133063944420726,61.88952509262378,6.250558085543356,3.942652329749108,10.265183917878517,-1.1029411764705843,4.7518775666243185,25.459521161388523,7.769413933481828,11.092851273623673,7.919647771051186,36.4493634761893,70.64102564102564,37.09740243932127,0.43478260869564966,-3.539823008849541,129.34888241010688,10.95890410958904,10.077519379844958,24.765633790978313,-15.288455467759722,12.770677532655617,9.482758620689658,9.090909090909083,18.181818181818187,19.6078431372549,6.697526272958765,8.6176195415673
2006-09-01,5.8003987098493415,3.8572521823346584,1.0844306738962084,3.1359377762064655,73.74371859296483,5.905302358574205,7.299270072992692,9.983221476510074,-1.1029411764705843,4.790072211296592,16.639929765752814,8.316394339770161,11.055486024196902,8.440843150800026,22.067465250310782,74.94692144373674,22.76187024284162,3.571428571428581,-1.7804154302670683,13.13131313131315,-3.4482758620689613,12.781954887218049,22.755941827290084,-16.81378777886796,12.879467020802181,8.771929824561408,10.169491525423723,16.666666666666675,30.612244897959172,6.697526272958765,8.6176195415673
2006-10-01,6.398156741652716,4.325241421989134,1.9917227108122049,3.7889913126559316,96.54859703403393,5.713274962412673,9.293680297397767,9.173553719008254,-1.1070110701106972,5.612366030331484,20.293138851518798,9.728357928376719,13.142857142857146,9.878695300566086,26.46245859842258,57.72259236826165,27.065490448092543,1.3215859030837107,-1.1904761904761862,-53.077240809582825,-1.0447761194029903,11.22448979591837,20.320360886694555,-17.267119876923665,12.814528035029337,8.737864077669899,11.304347826086957,12.34567901234569,32.00000000000001,6.697526272958765,8.6176195415673
