DATA,CFCT,NC-R,NC-I,NC-C,PT-TOT,PNT-TOT,TEMP-MAX,I-PLUV,IPAGRO,Q-BF,MR-PS,IMR-TOT,I-AEC,PFI-IG,IV-CVA
2010-01-01,486733.474,1388562,3818,131784,71870.8181398499,162986.50916015,31.0612903225806,452.3,170.018860785763,646724,656857348.413336,148.321481174005,142.28,94.3,70.7
2010-02-01,472395.153,1392733,3781,132066,66458.1889913,128326.8634087,31.85,359.7,116.758156156555,661728,651537569.30061,141.486640473255,134.19,88.2,65.5
2010-03-01,526190.571,1400567,3760,132081,76906.6644823349,169363.697847665,29.7987096774193,605.5,128.349755854109,663252,650679276.453228,155.349126373463,143.14,99.7,78.5
2010-04-01,512707.11,1410957,3766,133000,71175.21525175,130507.94324825,31.1933333333333,453.51,139.18325995832,671713,651156570.790272,142.38453428035,139.66,93.2,70.4
2010-05-01,513177.626,1419590,3728,133633,76626.62033038,179785.108909619,32.4612903225806,403.0,185.407082810692,664325,651641127.611831,159.12687299032,148.0,96.3,80.1
2010-06-01,545454.377,1429839,3769,134551,74140.7509861299,124926.244753869,32.5466666666666,163.7,238.68062887526,666723,655039373.953832,150.35619340552,156.12,97.1,74.8
2010-07-01,535256.215,1438783,3762,134627,76008.0624842649,151637.808985734,32.8516129032258,132.1,201.930223339989,671713,658175828.324894,146.260974798128,153.32,100.0,81.3
2010-08-01,531673.018,1446931,3763,134781,78668.763067575,179404.329782425,33.3645161290322,188.1,142.775996966977,679676,660562025.046292,154.396589012369,153.72,106.0,82.6
2010-09-01,553853.605,1453430,3801,135120,78716.01098983,157924.69235017,33.5466666666666,95.5,146.489211704632,678917,660173118.60877,152.392177399758,149.88,99.3,82.2
2010-10-01,552320.076,1461404,3786,135662,80379.53170127,173519.68275873,33.2451612903225,138.3,113.907106255261,674681,659766330.002692,138.036219445568,146.81,100.9,81.7
2010-11-01,549591.074,1468647,3817,136205,78635.61353116,160935.329148839,33.6933333333333,136.2,121.691167193482,678576,659676899.700897,135.283223771266,148.81,103.8,83.4
2010-12-01,550527.989,1475157,3806,136404,78764.7025874349,160684.047542564,32.8,226.2,166.072428162541,680804,660329794.973611,179.946746007977,160.29,107.1,115.1
2011-01-01,518662.499,1482460,3783,136334,74094.25244315,150783.167256849,31.1,520.3,190.733613472804,683061,694653954.44991,169.148363628856,153.78,99.1,77.2
2011-02-01,475427.867,1489180,3798,136515,67650.66963426,135646.42084574,30.95,332.9,120.221454029216,690463,692376510.454187,157.15412852993,136.9,86.0,74.9
