DATA,CFCT,NC-R,NC-I,NC-C,PT-TOT,PNT-TOT,TEMP-MAX,I-PLUV,IPAGRO,Q-BF,MR-PS,IMR-TOT,I-AEC,PFI-IG,IV-CVA
2006-12-01,411880,1215023,3971,118430,59417.3603995,110121.948600499,31.9612903225806,519.8,164.367479062116,521337,484268145.676517,154.550641101982,136.13,91.7,91.3
2007-01-01,413381,1219223,3987,118661,60233.8524245,115812.795575499,31.9774193548387,306.9,181.100172939676,522811,482328399.457477,111.596343624115,129.63,89.4,60.3
2007-02-01,400543,1221510,3969,118610,51417.405677,49735.0733229999,29.6142857142857,442.5,118.249495407851,526497,482283606.173241,106.364764385889,119.08,76.5,53.8
2007-03-01,385488,1226555,3957,118493,58057.9874194999,122130.0845805,30.1709677419354,433.3,130.770760927952,533130,482214297.042892,113.686215023306,127.29,89.0,64.6
2007-04-01,408973,1228348,3930,118971,56570.447594,86163.2624059999,30.7333333333333,451.8,143.710796968597,533638,516230692.716747,108.298925875222,124.58,82.9,61.7
2007-05-01,410652,1230016,3893,119306,61258.7988399999,124931.944159999,31.7032258064516,265.9,194.684289889123,539585,516780054.613875,114.694048636743,133.43,90.5,71.3
2007-06-01,430365,1231970,3923,120398,58578.7139035,87432.2970965001,31.94,204.4,234.671399403196,529580,517302951.508399,110.314155494584,135.41,88.4,66.4
2007-07-01,421475,1238062,3951,121186,60641.2913925,110474.9436075,31.8483870967742,196.4,203.862650944647,533323,519095007.187656,111.990545430788,134.94,92.6,65.1
2007-08-01,433315,1247164,3996,121681,63555.4838082065,121292.663178793,32.0193548387096,135.3,153.670572674329,533719,518376796.563892,112.313852941895,137.87,94.2,68.9
2007-09-01,447573,1254197,3999,121994,62476.667497,97235.956503,32.5633333333333,99.1,166.547476408706,534763,520073587.893327,109.874889713567,135.62,92.0,67.6
2007-10-01,454809,1260688,4035,123506,65172.2111515,114122.8598485,32.1354838709677,168.9,118.650054601822,538423,519618725.822857,99.5074338727249,133.77,94.1,72.7
2007-11-01,460148,1266589,4075,125489,63967.4470425,97943.7449575,32.3933333333333,117.5,126.445456481894,537414,519525899.207281,98.0635044271427,132.9,92.3,70.7
2007-12-01,450516,1270590,4037,126335,63516.9475497465,105793.734357253,31.3064516129032,442.9,177.175148834125,538448,516858471.053319,137.097052559635,142.14,98.3,96.0
2008-01-01,438252,1271520,4028,126495,61276.833611209,102741.741370791,29.6516129032258,521.9,178.947576869668,544025,514856505.458315,138.005566183588,134.79,94.6,71.0
2008-02-01,421014,1284072,4028,127270,57565.10014,86876.8138600001,30.1862068965517,450.8,119.484493028853,547428,514379816.252179,131.535936163831,127.3,88.1,61.9
2008-03-01,428133,1290445,4019,127442,61375.45449468,113160.70614532,29.9129032258064,457.4,129.493754011111,540627,554201297.566464,140.590004672609,131.22,92.9,66.0
2008-04-01,428542,1296565,3982,128296,60450.73007506,104831.108804939,30.4466666666666,503.7,139.918259363659,542551,551992958.416102,133.927816065604,130.55,85.2,64.9
2008-05-01,439807,1302394,4009,129139,63893.53878876,124142.691691239,31.3129032258064,304.9,185.787169530324,546009,553341188.027321,141.836341639614,137.09,93.5,70.7
2008-06-01,453589,1290329,3934,127774,63044.821009225,102107.762540774,31.3466666666666,299.0,220.518640184111,546226,551583753.589194,136.419948832487,143.38,95.6,68.6
2008-07-01,474356,1286972,3887,127706,66957.442283785,115899.749146215,32.4774193548387,108.2,190.979638367591,543667,549713280.088738,138.493055663563,142.51,101.2,73.1
2008-08-01,470272,1289250,3919,127327,69156.66822216,139177.224457839,33.3483870967741,151.5,146.92184076955,542414,548158611.785728,138.892873746062,145.51,106.2,69.4
2008-09-01,502667,1290288,3927,127231,68473.065797225,101275.253752774,33.2933333333333,109.6,151.622446817572,541718,549247537.453091,135.876731009702,142.83,100.7,72.3
2008-10-01,502474,1295890,3929,127267,70698.470481115,120863.538288885,33.3419354838709,110.6,117.401929490101,537653,549541424.006236,123.055821589783,140.81,106.8,70.2
2008-11-01,481400,1299944,3911,127546,68306.223162425,122657.761987574,33.2,135.2,126.34051415779,538556,548856030.927518,121.270186915784,135.93,97.7,65.8
2008-12-01,478414,1303789,3903,127544,68228.68897844,125687.666141559,32.5516129032258,171.2,175.157878450076,532978,548676204.845565,169.541005969885,143.63,94.9,90.0
2009-01-01,460541,1306268,3870,127272,65584.0171458062,118847.421565813,31.2096774193548,354.5,169.750872754627,530261,546220117.781841,135.494760292167,136.04,92.1,64.8
2009-02-01,431033,1315920,3864,127562,58386.43881,85546.56519,29.825,422.0,121.467949597979,551767,600275513.304598,131.175095236946,126.26,82.2,59.0
