DATA,CFCT,NC-R,NC-I,NC-C,TEMP-MAX,I-PLUV,PNT-TOT,IMR-TOT,IV-CVA,PFI-IG
10/01/2012,578267.548,1638540,3813,146577,28.371130832438,1.52104710365467,241155.56863968,2913722888.04962,102.5,167.911308934019
11/01/2012,588812.981,1641874,3801,146966,28.2217858168974,3.57972025470001,218800.445240112,2978628929.42977,95.5,156.136100527618
12/01/2012,579896.588,1644050,3786,146685,27.8210269913174,7.37916334360742,225367.28424,2813771136.76669,127.400002,174.181219497849
01/01/2013,566875.968,1650994,3798,147498,27.6157240069359,9.6274892619562,220682.13418608,2735032402.61312,92.6999969,143.902126476483
02/01/2013,552695.678,1656316,3808,147928,27.38326433656,12.0426625910623,153381.5508416,2665327616.99817,81.9000015,120.504656675882
03/01/2013,536019.25,1659983,3807,147963,27.3827373926267,14.5062333566374,264366.156489936,2694657726.20052,95.3000031,123.716072618223
04/01/2013,578249.863,1664662,3835,148938,27.2871629942266,13.3273959398602,210046.99682088,2781752796.83303,93.3000031,109.646994545566
05/01/2013,583854.572,1668468,3844,149470,27.1874235679541,10.5195247448629,239858.040384592,2820862146.75728,99.9000015,130.138904808756
06/01/2013,598224.195,1671820,3856,149851,27.2963427987346,4.06143630685142,219147.512279984,2881663674.54611,95,153.842230249663
07/01/2013,615243.109,1677567,3865,150875,26.9250472081035,5.27624794948186,213292.62304136,2975021516.88985,98.9000015,171.887349219894
08/01/2013,623085.612,1685819,3884,150888,27.7749925087069,4.9915519737897,249053.461913488,3077755232.43462,98.9000015,165.617438656065
09/01/2013,614555.467,1692961,3918,151333,27.8600686879478,2.94686870403805,236704.1544236,2999002059.57883,93.0999985,157.512425752885
10/01/2013,645972.84,1702386,3931,151650,28.034581047535,2.93276986781294,240541.420439632,2924353218.53255,100.5,176.322166619853
11/01/2013,627155.554,1716648,3938,152368,27.6318135674325,4.41881257339854,210023.368768032,2914400228.90583,99,161.79432152614
12/01/2013,662042.624,1729157,3917,152936,27.6172049363482,6.39039525089973,177827.3475084,2835099054.7305,128.300003,184.580090445009
01/01/2014,601371.629,1741703,3969,153575,26.8057567846165,9.45428707005168,228739.95693432,2979795268.47551,96.6999969,142.984580659172
02/01/2014,601215.121,1750214,3995,153968,26.6722052928723,17.7034790361496,112439.786833554,3002305355.12019,86.9000015,125.39824186152
03/01/2014,602973.095,1758990,3986,154263,26.8574598554296,13.1368781774308,183484.564829152,2978047095.13405,92.9000015,139.314385920574
04/01/2014,593563.991,1770981,4011,155177,26.9943133475165,14.0103382376964,189280.973801778,2984642759.6019,92,150.172036122765
05/01/2014,632364.559,1779939,3993,155899,27.2667403425136,8.3464646065931,193700.818526069,2968972873.77145,100.699997,165.464504795387
06/01/2014,653521.083,1793633,3998,156986,27.2718092264749,5.80342049982092,171727.531248246,2972583545.56447,92.1999969,163.47649153406
07/01/2014,652538.477,1804937,4020,157552,27.0851733582446,4.66609423260711,175004.198636185,2944368134.91137,100.900002,170.205179211974
08/01/2014,669877.445,1819690,4020,158204,27.5232260772175,2.04540449841818,217237.227810237,2982550018.20807,97,175.25168617724
09/01/2014,688501.893,1832026,4021,158816,27.6474676681867,4.95361831623798,186137.799018773,2935612119.16166,96.9000015,166.534985238
10/01/2014,685928.214,1843676,4008,159513,28.009354457128,2.23567183174567,227404.432093043,2889547042.33355,110.900002,185.191790715043
11/01/2014,687279.039,1856075,4011,159950,28.4654163691002,2.04181915359131,202615.782880934,2896518347.41787,104.400002,172.957815899285
12/01/2014,729266.634,1869270,4013,160569,27.9870756614026,5.66761661714372,166989.029255079,2784189050.63013,128.5,187.179817739591
01/01/2015,641407.045,1880967,4033,161049,27.4726671183556,9.43058966784039,202496.726749214,2846626648.50931,95.4000015,151.548360736332
02/01/2015,649454.05,1889002,4013,161322,27.2481400009264,9.66262587789258,98071.7433494588,2829256033.67942,83.4000015,137.02051564262
03/01/2015,628684.508,1898618,4017,161280,26.9433330744693,13.6578364953522,186494.367343463,2784364163.43072,96.9000015,157.818270535538
04/01/2015,593787.93,1909301,4007,161759,27.3368977288054,13.9386066183296,209437.845668198,2653164024.91239,90.3000031,159.959217657542
05/01/2015,621790.738,1916518,4003,162542,27.7278062019212,8.24545195101245,236471.545749256,2618754651.21887,94.8000031,166.687906864703
06/01/2015,618494.728,1922455,3989,163183,27.6179559217148,5.11387599322508,227081.059384056,2650041732.69526,91.5999985,168.828855515954
07/01/2015,689896.954,1925572,3934,163747,27.5139763516612,4.78884723573657,147896.732518095,2758723772.09726,94.3000031,175.710466349818
08/01/2015,661321.533,1933069,3938,163933,28.1144000301274,1.83075297576673,227476.609313792,2789440859.62597,90,165.00573838603
09/01/2015,693598.953,1941827,3985,164748,28.7760259985775,1.01794368537927,191162.067108077,2843597072.90775,87.5,181.215751958416
10/01/2015,728070.376,1948110,3975,164958,29.2089030644408,0.634035958199153,181149.249372622,2769282122.78415,91.3000031,185.344713870994
11/01/2015,711245.24,1950691,3966,165928,29.1107095969111,2.89115512470303,114799.517941569,2805435217.10311,92.5,176.78093302921
12/01/2015,725741.516,1959171,3946,166316,28.3650561119792,5.92605946065631,118042.519238256,2734680866.92027,113,187.332739366295
01/01/2016,642103.368,1966031,3971,166485,27.9421033626817,9.65108983216948,225558.806092253,2636213752.69608,82.1999969,166.993751647356
02/01/2016,631200.962,1974405,3966,166699,28.0670223429059,10.4835975437754,181650.335547768,2655782948.11042,78.5999985,157.359504126181
03/01/2016,639932.183385,1940598,3659,162110,27.9019371776965,14.9046783823614,242937.936488414,2661974836.16352,83.0999985,168.675932360004
04/01/2016,643012.986461999,1967295,3562,164637,28.3358007117846,10.5878105261725,228827.825740597,2664318812.62533,79.0999985,172.499049489929
05/01/2016,692653.023662,2026192,4071,170141,28.4125669894972,5.87572534448163,219841.742848269,2678809578.48387,80.5999985,179.074803307164
06/01/2016,708024.281511,2012284,4393,172313,27.8307054373145,5.84650277171423,150145.291393917,2668972780.40928,78.5,193.14388199152
07/01/2016,710701.189034999,2042482,4307,175090,27.7596761708887,3.93552794979575,138495.725660585,2640018678.01956,78.4000015,192.838024974892
08/01/2016,727884.905825,2037910,4118,173904,28.5598036414782,1.98444253813085,197912.074786596,2667397285.8286,77.3000031,192.379258565535
09/01/2016,732970.801067,2051814,4089,175155,28.569934236839,1.92658439974326,150431.566893467,2620477292.21328,71.9000015,187.332739366295
10/01/2016,722517.370555,2059812,4233,174939,28.7199133873985,3.55418832759749,188048.757126259,2561564688.17612,76.1999969,189.014907844968
11/01/2016,719129.063357,2066662,4055,174358,28.8256254451734,2.3345107483603,177859.09733363,2576548209.47652,79,193.602648400877
12/01/2016,716071.835453999,2074578,4054,174936,28.0643938449784,8.86694566159051,110972.443652178,2533440574.43805,98.8000031,207.518793224555
01/01/2017,652710.179095,2087045,4049,175616,27.2628936001936,14.0455435343955,178492.405728321,2629000259.80038,76.1999969,190.544154696938
02/01/2017,626060.753709,2090902,4003,175029,27.0550105689406,17.2489514055638,137230.429554179,2664053104.78734,68.1999969,161.79432152614
03/01/2017,640799.580261,2112228,4039,176597,26.9293201766542,17.2739284599835,209637.372776903,2655860583.13855,82.6999969,179.227726463115
04/01/2017,655164.411836,2109517,3964,175526,27.4875976605743,13.6324181179827,160457.996377318,2692567375.77446,76.9000015,181.521596741069
05/01/2017,704536.993015,2137612,4269,178309,28.1926864495739,6.51061807084082,193425.583509967,2691962662.43413,84.4000015,206.295391155239
06/01/2017,726314.097599,2138988,3996,177987,27.956219147397,5.65707875271839,160990.065714098,2743369380.25491,80.9000015,207.518793224555
07/01/2017,722645.272425,2160506,3946,178736,27.6631496583892,1.34738019600334,190431.104589952,2898916785.97869,83.8000031,218.835233692353
08/01/2017,730593.344717,2168333,3945,179028,28.6041701380813,2.30103285284257,201450.479191921,2995551537.42977,84.4000015,211.494844215157
09/01/2017,741789.35162,2177107,3944,179178,29.112351304137,1.02041671281277,179077.768336648,2949767545.78675,81.4000015,211.647755137133
10/01/2017,740184.603345999,2187122,3997,179026,28.8936671273942,4.08285790912707,183022.79663621,2929967662.42381,85,221.129103970307
11/01/2017,733968.000685,2196232,3971,179285,28.6903667727633,2.67613243006777,169733.475902075,2944298305.92749,89.1999969,214.85918270175
12/01/2017,739644.317440998,2204532,3878,179151,28.242672143798,5.8154109499847,134065.845914515,2897466019.10663,108.199997,222.199572178946
01/01/2018,671113.548645,2204215,3817,178385,27.5575785457367,8.82825355647954,184382.341203739,2829898442.29152,85.4000015,220.364480544323
02/01/2018,641592.564667,2200393,4043,177234,26.7900650899196,19.1018069910557,119040.208295925,2861342881.53024,74.6999969,161.947244682091
03/01/2018,670116.70056,2228372,4058,179561,27.6885160620383,13.8735075964744,204023.34505274,2858166336.03462,89.1999969,199.719648042731
04/01/2018,669986.295784,2225374,3948,177787,27.2089566874279,12.8608574869457,155812.159321698,2888671664.99422,81.5,179.992349889099
05/01/2018,688620.498777,2235797,3936,177777,27.8168555928506,11.8687341449182,174397.442799565,2893574002.46321,88.4000015,219.141078475006
