DATA,CFCT,NC-R,NC-I,NC-C,NC-RUR,NC-PPU,NC-IPU,NC-SPU,NC-PRO,NC-TOTAL,PT,PT-INT,PT-ISO,PT-TOT,PNT-INT,PN-ISO,PNT-TOT,TEMP-MIN,TEMP-MAX,I-PLUV,U-REL,IPAGRO,MR-BF,Q-BF,MR-PS,IMR-TOT,I-AEC,PFI-IG,IV-CVA
2005-01-01,382455.359999999,1124905,3882,112128,17115,10938,255,1119,269,1270611,115518.945,47297.059136,2251.3842115,49548.4433475,65214.790864,755.710788500001,65970.5016525,23.1387096774193,32.658064516129,249.9,74.516129032258,151.199082736489,54334926.5513494,640959,382105370.742121,115.621596102764,112.14,71.8,38.9
2005-02-01,352013.75,1128942,3875,112249,17202,10963,261,1117,276,1274885,92720.5449999999,42290.149088,1960.9132645,44251.0623525,48722.1039119999,-252.621264499998,48469.4826474999,23.4178571428571,32.2678571428571,363.9,79.6428571428571,101.499666305623,53940847.5597309,640295,381993137.211606,110.201315096971,105.23,63.7,39.9
2005-03-01,379137.346,1128530,3861,111493,17358,10958,258,1125,273,1273856,120791.398,47524.6437945,2218.2662335,49742.910028,69189.2392055,1859.24876649999,71048.487972,23.4774193548387,32.0483870967741,413.5,77.1916129032258,113.616936265571,55087643.3417825,687238,382540563.589093,117.786848645785,111.11,72.1,45.5
2005-04-01,378523.709,1133597,3837,111722,17362,10962,267,1120,277,1279144,110554.813999999,46471.0276479999,2192.2853905,48663.3130385,61098.7723519999,792.728609500002,61891.5009614999,23.2066666666666,31.97,565.4,78.1666666666666,138.866843235464,53823888.5394124,645100,380921704.254511,112.205241312246,112.17,72.0,44.9
2005-05-01,385904.515,1136498,3835,111295,17462,11027,266,1122,277,1281782,120591.679999999,48151.149624,2245.2217785,50396.3714025,68969.2703759999,1226.0382215,70195.3085974999,23.3645161290322,32.2225806451612,428.5,73.7419354838709,196.647542791153,54992358.1471563,652228,426509115.570955,118.831034568078,117.87,74.4,47.7
2005-06-01,394024.794,1140753,3811,112256,17525,11114,270,1136,274,1287139,119030.609049999,48805.087504,2243.925099475,51049.012603475,67114.2794959999,867.316950524997,67981.5964465249,23.0866666666666,32.66,225.8,63.1333333333333,233.159579226763,53384623.3019625,610398,428114772.78673,114.293159764924,122.31,75.8,46.7
2005-07-01,396440.79,1144632,3811,113279,17573,11123,276,1181,274,1292149,120482.9885,49095.1078155,2338.80814525,51433.91596075,67662.6261845001,1386.44635475,69049.0725392501,22.7516129032258,33.2258064516129,177.8,61.1935483870967,183.109749463936,54613806.6513714,617414,429641568.04877,116.030016670983,118.41,72.8,47.3
2005-08-01,395728.537999999,1149980,3863,112848,17814,11199,279,1169,272,1297424,136663.525,52075.7465315,2433.7973625,54509.543894,80593.8524685,1560.12863749999,82153.981106,22.9612903225806,33.9032258064516,102.9,58.3870967741935,128.603003405317,55250178.7254885,617721,429069459.081556,116.364985803951,120.66,76.7,51.0
2005-09-01,397783.163,1156445,3873,113140,18308,11278,274,1192,272,1304782,125295.029999999,51163.6152059999,2397.251908,53560.8671139999,70791.7687939999,942.394092,71734.1628859999,22.42,33.7466666666666,138.6,63.8,133.421664941583,55701719.8295714,621710,428712716.821074,113.838049775966,118.04,78.0,48.8
2005-10-01,401896.566,1156999,3866,113038,18746,11307,269,1210,271,1305706,141229.617699999,53194.9302924999,2449.99921615,55644.92950865,83933.5777074999,1651.11048385,85584.6881913499,22.7485023041935,33.5859447003225,242.1,67.0057603687096,97.5754580625165,56906946.5102589,628553,429683160.404281,103.096642370355,115.39,81.2,50.2
